data_ini_prod,bacia,campo,estados,localizacao,profundidade,target,data
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,6985.95,2009-04-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,3797.0,2009-05-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,65790.64,2009-06-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,5157.55,2009-07-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,77822.7,2009-09-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,97712.82,2009-10-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,94876.96,2009-11-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,99155.76,2009-12-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,99165.91,2010-01-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,86948.3,2010-02-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,78489.83,2010-03-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,22226.71,2010-03-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,66593.17,2010-04-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,47586.97,2010-04-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,68949.67,2010-05-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,84731.52,2010-05-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,67518.79,2010-06-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,82291.79,2010-06-01
2010-07-14,Santos,URUGUÁ,Rio de Janeiro,MAR,1207.0,51795.15,2010-07-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,85577.27,2010-07-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,67885.68,2010-07-01
2010-07-14,Santos,URUGUÁ,Rio de Janeiro,MAR,1207.0,83094.43,2010-08-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,83497.91,2010-08-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,73432.33,2010-08-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,78409.94,2010-09-01
2010-07-14,Santos,URUGUÁ,Rio de Janeiro,MAR,1207.0,67677.21,2010-09-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,73842.39,2010-09-01
2010-07-14,Santos,URUGUÁ,Rio de Janeiro,MAR,1207.0,70493.47,2010-10-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,78421.84,2010-10-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,83947.72,2010-10-01
2010-07-14,Santos,URUGUÁ,Rio de Janeiro,MAR,1207.0,72860.82,2010-11-01
2010-12-29,Santos,TUPI,Rio de Janeiro,MAR,2156.0,121031.96,2010-11-01
2012-02-19,Santos,BAÚNA,São Paulo,MAR,263.0,80938.5,2010-11-01
