campo,params,best_score,window_length
TUPI,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.29122405822655545,1
BAÚNA,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.3031886291414836,1
URUGUÁ,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.305416578219443,1
SAPINHOÁ,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.6279633034121134,1
MEXILHÃO,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 8}",-0.4705859504495815,1
LAPA,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.33079265673449587,1
TAMBAÚ,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.013339292371670584,1
BÚZIOS,"{'optimizer': 'adam', 'units1': 16, 'units2': 8}",-0.2251444076188932,1
SÉPIA,"{'optimizer': 'adam', 'units1': 16, 'units2': 8}",-0.0002662330408047106,1
BERBIGÃO,"{'optimizer': 'adam', 'units1': 8, 'units2': 16}",-0.211687449273806,1
ITAPU,"{'optimizer': 'adam', 'units1': 16, 'units2': 8}",-0.0002211537010680505,1
ATAPU,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.10519063982764772,1
MERO,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.014343064352193612,1
ATLANTA,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.26067460820430743,1
NOROESTE DE SAPINHOÁ,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.3511234657691706,1
NORDESTE DE SAPINHOÁ,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.3555351747056268,1
SUDOESTE DE SAPINHOÁ,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 8}",-0.3595589453982522,1
SUL DE TUPI,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.5873936320555103,1
AnC_TUPI,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.23541122017614471,1
TAMBUATÁ,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 8}",-0.6061830948086769,1
TUPI,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.24379442619061886,2
BAÚNA,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.26953074598684007,2
URUGUÁ,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 8}",-0.27941308305293616,2
SAPINHOÁ,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.5314852791128253,2
MEXILHÃO,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 8}",-0.44727956550660325,2
LAPA,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 16}",-0.3181373707566684,2
TAMBAÚ,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 8}",-0.01244185385272952,2
BÚZIOS,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.21184367008674154,2
SÉPIA,"{'optimizer': 'adam', 'units1': 16, 'units2': 8}",-0.00029487366652123634,2
BERBIGÃO,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 8}",-0.19584283711033545,2
ITAPU,"{'optimizer': 'adam', 'units1': 16, 'units2': 8}",-0.00037947812483429274,2
ATAPU,"{'optimizer': 'rmsprop', 'units1': 16, 'units2': 8}",-0.10293557456753162,2
MERO,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.01308718326141014,2
ATLANTA,"{'optimizer': 'adam', 'units1': 16, 'units2': 8}",-0.24556079457725474,2
NOROESTE DE SAPINHOÁ,"{'optimizer': 'rmsprop', 'units1': 8, 'units2': 16}",-0.3322261340090678,2
