campo,params,best_score,window_size
TUPI,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0019056055236017922,1
BAÚNA,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0051458854983474946,1
URUGUÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.012481908404484366,1
SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (8, 8), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.006427949311000778,1
MEXILHÃO,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.018759848394574313,1
LAPA,"{'activation': 'relu', 'hidden_layer_sizes': 16, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.019136817454314864,1
TAMBAÚ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.007711919997636847,1
BÚZIOS,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.003026282036346272,1
SÉPIA,"{'activation': 'tanh', 'hidden_layer_sizes': 8, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.000599852967885062,1
BERBIGÃO,"{'activation': 'relu', 'hidden_layer_sizes': 8, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.003915787321493379,1
ITAPU,"{'activation': 'relu', 'hidden_layer_sizes': (8, 8), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.007103450806663029,1
ATAPU,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0010041134398611404,1
MERO,"{'activation': 'tanh', 'hidden_layer_sizes': 8, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0037751762558229317,1
ATLANTA,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.02702873015750037,1
NOROESTE DE SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.028593016556798374,1
NORDESTE DE SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.028531911660321506,1
SUDOESTE DE SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.028221158052377626,1
SUL DE TUPI,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.005044156634649031,1
AnC_TUPI,"{'activation': 'tanh', 'hidden_layer_sizes': 32, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.017282081291017652,1
TAMBUATÁ,"{'activation': 'relu', 'hidden_layer_sizes': (8, 8), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.01858102414138678,1
TUPI,"{'activation': 'relu', 'hidden_layer_sizes': 32, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.001678726155229521,2
BAÚNA,"{'activation': 'relu', 'hidden_layer_sizes': 32, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.004235213428984507,2
URUGUÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.00841963315521171,2
SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (8, 8), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.005271287507941555,2
MEXILHÃO,"{'activation': 'relu', 'hidden_layer_sizes': (8, 8), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.011295732411657666,2
LAPA,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.014265957669053435,2
TAMBAÚ,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.007164774259858799,2
BÚZIOS,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0026259377158227987,2
SÉPIA,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0005815230983040847,2
BERBIGÃO,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0023372722015069514,2
ITAPU,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.007063832006985663,2
ATAPU,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0008860151556864902,2
MERO,"{'activation': 'relu', 'hidden_layer_sizes': 32, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0035544522903470264,2
ATLANTA,"{'activation': 'relu', 'hidden_layer_sizes': 32, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.013636910923254229,2
NOROESTE DE SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0221078868700489,2
NORDESTE DE SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.025614348993878096,2
SUDOESTE DE SAPINHOÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.026583399446118067,2
SUL DE TUPI,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.004667479914288239,2
AnC_TUPI,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.011851610799051835,2
TAMBUATÁ,"{'activation': 'relu', 'hidden_layer_sizes': (32, 32), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.008259822461702229,2
TUPI,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.0015921984443361054,3
BAÚNA,"{'activation': 'relu', 'hidden_layer_sizes': 16, 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.004295211395676593,3
URUGUÁ,"{'activation': 'relu', 'hidden_layer_sizes': (16, 16), 'max_iter': 100, 'random_state': 42, 'solver': 'lbfgs'}",-0.007971335747731303,3
