campo,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"[0.9465209  0.93983346 0.91670257 0.9113176  0.91922545 0.8985614
 0.901117   0.89729255 0.8974884  0.8890786  0.8871659  0.8855742
 0.90014714 0.90099806 0.8890558  0.8922094  0.8924393  0.8878329
 0.88660985 0.8848151  0.8770118  0.86269677 0.8542727  0.84367996
 0.8450106  0.8492702  0.84050536 0.85215354 0.8458064  0.8366877
 0.83197206 0.84293413 0.84251624]","[0.82140665 0.76479138 0.86511083 0.8571311  0.75757554 0.80289598
 0.81084726 0.8297371  0.82346132 0.85377112 0.85844548 0.85439249
 0.83676574 0.78795702 0.80459745 0.83193882 0.75785581 0.8434872
 0.77280417 0.72227347 0.64351217 0.75778496 0.75073544 0.79999515
 0.81056866 0.73220629 0.78028983 0.7492065  0.69348953 0.79195068
 0.74952564 0.77791314 0.71194091]",0.010786967428531257,0.1038603265377654,0.09218601017472783,0.015653580843595923,0.12511427114280738,0.12511427114280738
BAÚNA,"[0.25867483 0.25856072 0.25126863 0.24981193 0.24478814 0.24137352
 0.23976865 0.23715642 0.23652174 0.23497944 0.23821537 0.24902005
 0.24157642 0.24587405 0.243261   0.23797323 0.23536637 0.23329419
 0.23110978 0.22961234 0.22920357 0.22933193 0.2385882  0.25145108
 0.26750797 0.278291   0.29219472 0.312554   0.3033362  0.31248868]","[0.19755082 0.10235966 0.19735766 0.15933357 0.17303511 0.18796314
 0.19050858 0.19034724 0.17672157 0.1843287  0.17163493 0.18054846
 0.17719819 0.15644074 0.12611575 0.16999715 0.16703527 0.13562437
 0.18975051 0.16645128 0.20662287 0.3169327  0.28520097 0.30855754
 0.29159577 0.24067601 0.33410612 0.         0.3312332  0.40446563]",0.008060058883839784,0.08977783069243644,0.07292823152485298,0.003736144804000341,0.06112401168117437,0.06112401168117437
URUGUÁ,"[0.42971784 0.42938736 0.42496184 0.39860559 0.3778242  0.35655633
 0.33708924 0.3434765  0.34930894 0.3490209  0.33820686 0.31621704
 0.30632517 0.30696908 0.30992162 0.3117639  0.31398028 0.3167639
 0.32008296 0.32368067 0.32923603 0.3342328  0.33449578 0.3303146
 0.34148297 0.35826412 0.3785393  0.40187007 0.42404863 0.43554288]","[0.35896388 0.12684958 0.19266168 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11086901 0.24230927 0.01573837 0.         0.         0.
 0.00190284 0.24655695 0.34908613 0.39978749 0.22361408 0.40787093
 0.39812164 0.3274734  0.33301458 0.29678753 0.28039806 0.32533035]",0.06247905717036019,0.24995811083131547,0.21432504108088649,0.005006122524978353,0.07075395766300535,0.07075395766300535
SAPINHOÁ,"[0.7599287  0.74396414 0.72903115 0.7626839  0.7800771  0.78408235
 0.7849301  0.7761462  0.7845132  0.78479624 0.7799063  0.77421826
 0.7688377  0.75685763 0.7432424  0.73470473 0.73110723 0.73982006
 0.7537129  0.74640685 0.7569834  0.74713624 0.7387039  0.7295419
 0.7216436  0.7123511 ]","[0.75844551 0.73744978 0.77827122 0.7791194  0.73234838 0.70307107
 0.615925   0.57436378 0.71314932 0.60403079 0.74352072 0.71303599
 0.71169527 0.68680641 0.6835306  0.70260974 0.6634814  0.6501921
 0.4376623  0.64258443 0.59321199 0.57391452 0.64913106 0.63596624
 0.64755861 0.65137686]",0.013174988114570175,0.11478235105873279,0.09131637876189433,2.1998591563731794e-06,0.0014831922182823032,0.0014831922182823032
MEXILHÃO,"[0.601248   0.59676313 0.5934457  0.5879768  0.582953   0.5817595
 0.57599413 0.5691969  0.5619155  0.5551505  0.5543009  0.5524164
 0.54858005 0.5374451  0.5250871  0.51167685 0.51476413 0.5555822
 0.55942434 0.5575019  0.55662847 0.5576603  0.5606637  0.5560489
 0.5501552  0.5456986  0.54333055 0.53797704]","[0.44390207 0.43251934 0.48941638 0.47282771 0.49750307 0.44042972
 0.         0.39956724 0.45938481 0.45213186 0.44014465 0.40219211
 0.47167083 0.47216684 0.4573919  0.41858502 0.44085504 0.43398848
 0.41465473 0.42120785 0.40331733 0.39275077 0.37513253 0.30389606
 0.34168883 0.30570061 0.34036381 0.32952122]",0.033499094920467334,0.18302757967166405,0.15637265033288858,0.02475775013818754,0.15734595685364,0.15734595685364
LAPA,"[0.6701717  0.67266566 0.6749098  0.6747697  0.6744191  0.67209166
 0.6691906  0.6646157  0.65708864 0.6809909  0.6779233  0.6756206
 0.67883587 0.6753281  0.6702904  0.66109836 0.6510055  0.63513476]","[0.96554665 0.86519583 0.9473008  0.93585413 0.96287397 0.92768651
 0.96796038 0.9514235  0.89674663 0.93919185 0.46374861 0.33425208
 0.55610163 0.63483639 0.8030557  0.75220403 0.78992046 0.75456683]",0.052746208019488615,0.22966542626065556,0.21388078072943392,0.08724637165810815,0.29537496789353723,0.29537496789353723
TAMBAÚ,"[0.08638106 0.08638106 0.08638106 0.08638106 0.08638106 0.08638106
 0.08638106 0.08638106 0.08638106 0.08638106 0.08638106 0.08638106
 0.08638106 0.08638106 0.08638106 0.08638106 0.08638106 0.08638106
 0.08639054 0.08639326 0.08638736 0.08638237 0.0863599  0.08630282
 0.08618741]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0169977
 0.         0.         0.01012596 0.         0.         0.01794143
 0.02742164]",0.0070180915075837265,0.08377405032337715,0.08347103707722069,0.007461686734553441,0.08638105541467667,0.08638105541467667
BÚZIOS,"[0.88178664 0.88158244 0.8879517  0.88060105 0.87297916 0.851691
 0.81894034 0.77508897 0.71781594 0.63468635 0.52602476 0.5273942
 0.5407772  0.53750896 0.5354015  0.53588116 0.5430078  0.54393035
 0.54309714 0.5387408  0.53306353 0.52917075]","[0.23425834 0.19933104 0.2434632  0.24668037 0.23841594 0.21205701
 0.23963003 0.24050536 0.24220184 0.25312925 0.24404845 0.24456183
 0.22170839 0.24544853 0.23913124 0.21747318 0.24777248 0.23378665
 0.20947351 0.23871782 0.23047855 0.2571929 ]",0.20876942372025312,0.4569129279416956,0.4298934457571907,0.4192929050716281,0.6475283044559736,0.6475283044559736
SÉPIA,"[0.02925585 0.03786122 0.04568752 0.05271919 0.06708965 0.08147665
 0.09380517 0.09935124 0.08733286 0.081011   0.07990424 0.06932381
 0.05347995 0.05495575 0.03887318 0.02602712 0.02367894 0.04065233
 0.04046608 0.04041865 0.04068321]","[0.39721009 0.32472256 0.35110532 1.         0.95335931 0.99385985
 0.98531848 0.445311   0.41899627 0.41549256 0.41592533 0.40326611
 0.37847826 0.42103731 0.43245353 0.4205217  0.37821085 0.41865055
 0.39737422 0.4121335  0.40394098]",0.25729839098606444,0.5072458880918251,0.4563482955035837,0.13539032035465143,0.3679542367668178,0.3679542367668178
BERBIGÃO,"[0.58304405 0.5877646  0.5567014  0.56456685 0.54772246 0.5581537
 0.5704394  0.591725   0.64530617 0.71049464 0.7414145  0.7699209
 0.7538587  0.752568   0.7203317  0.719635   0.7047093  0.6631669
 0.601813   0.62938446]","[0.47214629 0.36579265 0.58157171 0.42680089 0.54498707 0.54506159
 0.52622075 0.64469904 0.9188768  0.90020487 0.82950609 0.76855716
 0.53356211 0.59229599 0.83777264 0.76852252 0.68428053 0.39999428
 0.84530481 0.7892361 ]",0.02248095711739434,0.14993651028816943,0.11975520790152576,0.012298313522048266,0.11089776157365966,0.11089776157365966
