campo,idx_treino,idx_teste,preds,y_test,modelo
TUPI,"range(0, 128)","range(128, 161)","[1.06218455 1.07425275 1.00977381 1.08428986 1.04325789 1.04015629
 1.03416203 1.06055551 0.99806152 1.02343185 1.01233706 1.00918021
 1.03042294 1.00164212 1.01046076 1.0109017  1.03134679 1.00451975
 1.0249479  1.02458362 0.97937199 0.96963993 1.00076741 0.95793526
 0.99239845 0.96150586 0.97316953 0.93754872 0.97588464 0.90671294
 0.97443291 0.97714408 0.94510284]","[0.82140665 0.76479138 0.86511083 0.8571311  0.75757554 0.80289598
 0.81084726 0.8297371  0.82346132 0.85377112 0.85844548 0.85439249
 0.83676574 0.78795702 0.80459745 0.83193882 0.75785581 0.8434872
 0.77280417 0.72227347 0.64351217 0.75778496 0.75073544 0.79999515
 0.81056866 0.73220629 0.78028983 0.7492065  0.69348953 0.79195068
 0.74952564 0.77791314 0.71194091]","MLPRegressor(hidden_layer_sizes=(64, 64), max_iter=1000, random_state=42)"
BAÚNA,"range(0, 120)","range(120, 150)","[0.20762169 0.22247303 0.1685417  0.18081215 0.21284185 0.1834935
 0.20975354 0.20393769 0.19781563 0.23222389 0.18879269 0.24296119
 0.19891124 0.21443465 0.19739626 0.16994933 0.1799761  0.19152688
 0.1772321  0.18565623 0.20612105 0.19945092 0.2939931  0.31822991
 0.33162502 0.3516247  0.28289566 0.33003937 0.21200928 0.27203168]","[0.19755082 0.10235966 0.19735766 0.15933357 0.17303511 0.18796314
 0.19050858 0.19034724 0.17672157 0.1843287  0.17163493 0.18054846
 0.17719819 0.15644074 0.12611575 0.16999715 0.16703527 0.13562437
 0.18975051 0.16645128 0.20662287 0.3169327  0.28520097 0.30855754
 0.29159577 0.24067601 0.33410612 0.         0.3312332  0.40446563]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=1000, random_state=42)"
URUGUÁ,"range(0, 116)","range(116, 146)","[0.24884918 0.3641846  0.39207314 0.49180017 0.32418569 0.29427333
 0.12712161 0.01116143 0.14306847 0.15596318 0.33928597 0.19322861
 0.20120092 0.12144168 0.14313304 0.10213734 0.11831329 0.05057147
 0.06875975 0.08903578 0.11530079 0.19922713 0.3105405  0.26471204
 0.15908425 0.11482488 0.12309893 0.15915657 0.11741082 0.31648069]","[0.35896388 0.12684958 0.19266168 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11086901 0.24230927 0.01573837 0.         0.         0.
 0.00190284 0.24655695 0.34908613 0.39978749 0.22361408 0.40787093
 0.39812164 0.3274734  0.33301458 0.29678753 0.28039806 0.32533035]","MLPRegressor(activation='tanh', hidden_layer_sizes=16, max_iter=1000,
             random_state=42)"
SAPINHOÁ,"range(0, 100)","range(100, 126)","[0.80607827 0.68516233 0.58967751 0.65622249 0.70864307 0.7604046
 0.73712061 0.68592948 0.72956767 0.72901211 0.70772965 0.75808514
 0.74242913 0.7624762  0.74852507 0.68581715 0.64072987 0.66320154
 0.68141804 0.67994104 0.7393244  0.67718204 0.71972462 0.70632666
 0.68500529 0.73303996]","[0.75844551 0.73744978 0.77827122 0.7791194  0.73234838 0.70307107
 0.615925   0.57436378 0.71314932 0.60403079 0.74352072 0.71303599
 0.71169527 0.68680641 0.6835306  0.70260974 0.6634814  0.6501921
 0.4376623  0.64258443 0.59321199 0.57391452 0.64913106 0.63596624
 0.64755861 0.65137686]","MLPRegressor(hidden_layer_sizes=16, max_iter=1000, random_state=42)"
MEXILHÃO,"range(0, 109)","range(109, 137)","[0.70912508 0.68618739 0.71615978 0.68546989 0.6927068  0.6863438
 0.65378944 0.55244022 0.61011632 0.71479652 0.6033769  0.61485485
 0.68995863 0.53749429 0.68140609 0.54511456 0.61560093 0.65211416
 0.63145221 0.64053326 0.62237955 0.64834949 0.62320197 0.62400201
 0.58933971 0.59818429 0.59948865 0.5806474 ]","[0.44390207 0.43251934 0.48941638 0.47282771 0.49750307 0.44042972
 0.         0.39956724 0.45938481 0.45213186 0.44014465 0.40219211
 0.47167083 0.47216684 0.4573919  0.41858502 0.44085504 0.43398848
 0.41465473 0.42120785 0.40331733 0.39275077 0.37513253 0.30389606
 0.34168883 0.30570061 0.34036381 0.32952122]","MLPRegressor(hidden_layer_sizes=(64, 64), max_iter=1000, random_state=42)"
LAPA,"range(0, 71)","range(71, 89)","[1.07096721 1.10732032 1.00619514 1.04306173 1.14092159 0.95014132
 1.10150985 1.00753895 1.06098207 1.07860786 1.05697691 0.96562546
 0.89539739 1.02031923 0.97784343 0.92901529 1.00890656 0.89041267]","[0.96554665 0.86519583 0.9473008  0.93585413 0.96287397 0.92768651
 0.96796038 0.9514235  0.89674663 0.93919185 0.46374861 0.33425208
 0.55610163 0.63483639 0.8030557  0.75220403 0.78992046 0.75456683]","MLPRegressor(hidden_layer_sizes=(64, 64), max_iter=1000, random_state=42)"
TAMBAÚ,"range(0, 97)","range(97, 122)","[0.15653616 0.15653616 0.15653616 0.15653616 0.15653616 0.15653616
 0.15653616 0.15653616 0.15653616 0.15653616 0.15653616 0.15653616
 0.15653616 0.15653616 0.15653616 0.15653616 0.15653616 0.15653616
 0.16546782 0.14351481 0.16669995 0.16402894 0.1308719  0.16650543
 0.15275796]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0169977
 0.         0.         0.01012596 0.         0.         0.01794143
 0.02742164]","MLPRegressor(hidden_layer_sizes=16, max_iter=1000, random_state=42,
             solver='lbfgs')"
BÚZIOS,"range(0, 84)","range(84, 106)","[0.79351219 0.54206891 0.49419637 0.6711346  1.11125313 1.10850278
 0.6472303  0.96343165 0.70273294 0.72621243 0.62695853 0.57785462
 0.61835808 0.581138   0.60873352 0.60266428 0.56497217 0.6061077
 0.58701253 0.56596101 0.57232575 0.58512785]","[0.23425834 0.19933104 0.2434632  0.24668037 0.23841594 0.21205701
 0.23963003 0.24050536 0.24220184 0.25312925 0.24404845 0.24456183
 0.22170839 0.24544853 0.23913124 0.21747318 0.24777248 0.23378665
 0.20947351 0.23871782 0.23047855 0.2571929 ]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=1000, random_state=42,
             solver='lbfgs')"
SÉPIA,"range(0, 80)","range(80, 101)","[-0.00038023 -0.00047587  0.00128333  0.00739192 -0.0260178  -0.01274704
 -0.10822346 -0.12125054 -0.21679507 -0.26679727 -0.32443135 -0.29882367
 -0.26318057 -0.24145032 -0.15509067 -0.167393   -0.12602316 -0.15412193
 -0.15330197 -0.15272313 -0.16203884]","[0.39721009 0.32472256 0.35110532 1.         0.95335931 0.99385985
 0.98531848 0.445311   0.41899627 0.41549256 0.41592533 0.40326611
 0.37847826 0.42103731 0.43245353 0.4205217  0.37821085 0.41865055
 0.39737422 0.4121335  0.40394098]","MLPRegressor(hidden_layer_sizes=(32, 32, 32), max_iter=1000, random_state=42)"
BERBIGÃO,"range(0, 79)","range(79, 99)","[0.51045353 0.48540787 0.40605766 0.39156957 0.21784268 0.45860639
 0.29021328 0.54791963 0.50681256 0.6288171  0.55417743 0.76776203
 0.70017013 0.90336058 0.88569061 0.73421918 0.65841633 0.59110812
 0.46559567 0.63050647]","[0.47214629 0.36579265 0.58157171 0.42680089 0.54498707 0.54506159
 0.52622075 0.64469904 0.9188768  0.90020487 0.82950609 0.76855716
 0.53356211 0.59229599 0.83777264 0.76852252 0.68428053 0.39999428
 0.84530481 0.7892361 ]","MLPRegressor(activation='tanh', hidden_layer_sizes=32, max_iter=1000,
             random_state=42)"
ITAPU,"range(0, 59)","range(59, 74)","[-1.77809776e-05 -1.77809776e-05 -1.77809776e-05 -1.77809776e-05
 -1.77809776e-05 -1.77809776e-05 -1.77809776e-05 -1.77809776e-05
 -1.77809776e-05  1.54366453e-01  5.33692292e-01  6.92315872e-01
  7.08397230e-01  7.48826612e-01  7.20900594e-01]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.2389131  0.69655628 0.63215321 0.68072907
 0.6787139  0.70147207 1.        ]","MLPRegressor(activation='tanh', hidden_layer_sizes=64, max_iter=1000,
             random_state=42, solver='lbfgs')"
ATAPU,"range(0, 71)","range(71, 89)","[0.93717688 0.95473673 0.96407419 1.02630411 1.20869256 1.06073441
 0.88262701 1.0477178  0.90544516 0.50040068 0.78309257 0.8996581
 0.59436384 0.59995287 0.52960704 0.55583684 0.55643848 0.57751034]","[0.98473418 0.58439222 0.59413144 0.94356994 0.40918817 0.35176604
 0.35695076 0.37948441 0.3700975  0.37014782 0.37171688 0.36809157
 0.34075597 0.31191576 0.37795386 0.37895301 0.38652625 0.31493882]","MLPRegressor(activation='tanh', hidden_layer_sizes=(64, 64), max_iter=1000,
             random_state=42, solver='lbfgs')"
MERO,"range(0, 47)","range(47, 59)","[ 0.08118981  0.12943208  0.12207488  0.12147549  0.18379171  0.2001872
  0.18062717  0.10903175  0.16709827 -0.0068709  -0.01927778  0.020801  ]","[0.40588578 0.52457604 0.38086134 0.83344652 0.79863789 0.8830256
 1.         0.91649278 0.5782811  0.60097078 0.98139983 0.95206993]","MLPRegressor(activation='tanh', hidden_layer_sizes=(64, 64), max_iter=1000,
             random_state=42)"
ATLANTA,"range(0, 44)","range(44, 56)","[ 0.363318    0.15906736  0.17735027  0.33712468  0.46507878  0.07658759
  0.65677979  0.3572773   0.4775771   0.25257716  0.735179   -0.02754621]","[0.01088695 0.09926171 0.17313069 0.48063063 0.40544711 0.42239906
 0.40181087 0.30278771 0.28566559 0.66224939 0.09953552 0.13446925]","MLPRegressor(hidden_layer_sizes=32, max_iter=1000, random_state=42,
             solver='lbfgs')"
NOROESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.40778812 0.32652009 0.43742104 0.21847121 0.4461194  0.30529731
 0.41978013 0.47010109 0.42525285 0.57620335]","[0.42122022 0.39643163 0.         0.38224112 0.29014715 0.25415121
 0.39445255 0.36989636 0.39151978 0.39864126]","MLPRegressor(activation='tanh', hidden_layer_sizes=16, max_iter=1000,
             random_state=42)"
NORDESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.40808846 0.32682563 0.43778861 0.21867561 0.44651535 0.30562457
 0.42017952 0.47043615 0.42564397 0.57661193]","[0.42158757 0.39677735 0.         0.38257422 0.29039952 0.25437202
 0.39479545 0.37021826 0.39186004 0.39898866]","MLPRegressor(activation='tanh', hidden_layer_sizes=16, max_iter=1000,
             random_state=42)"
SUDOESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.4080033  0.32673888 0.43768519 0.21861877 0.44640419 0.30553169
 0.4200661  0.47034055 0.42553261 0.57649564]","[0.42148289 0.3966789  0.         0.38247951 0.29032767 0.2543096
 0.39469853 0.37012673 0.39176376 0.39889027]","MLPRegressor(activation='tanh', hidden_layer_sizes=16, max_iter=1000,
             random_state=42)"
SUL DE TUPI,"range(0, 34)","range(34, 43)","[0.93229563 0.65802271 0.75534635 0.65058657 0.73799174 0.55571592
 0.65178968 0.75916214 0.68516009]","[0.78813176 0.73805851 0.75958013 0.68785673 0.65962121 0.79099043
 0.7445496  0.75028113 0.68278646]","MLPRegressor(hidden_layer_sizes=16, max_iter=1000, random_state=42,
             solver='lbfgs')"
AnC_TUPI,"range(0, 32)","range(32, 41)","[0.47975213 0.45286782 0.45844676 0.53437312 0.24049013 0.16060292
 0.13855567 0.31602157 0.4399055 ]","[0.50818944 0.39195425 0.44191247 0.27542115 0.2098786  0.51482515
 0.40702207 0.42032706 0.26365107]","MLPRegressor(hidden_layer_sizes=16, max_iter=1000, random_state=42)"
TAMBUATÁ,"range(0, 28)","range(28, 35)","[0.95783861 0.92309551 0.95853214 0.96056784 0.91907462 0.95271244
 0.90704941]","[0.66275808 0.89641332 0.78856056 0.60106794 0.82658766 0.7630499
 0.96905958]","MLPRegressor(hidden_layer_sizes=(32, 32, 32), max_iter=1000, random_state=42)"
