campo,idx_treino,idx_teste,preds,y_test,modelo,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"range(0, 128)","range(128, 161)","[0.88300071 0.87129788 0.86638296 0.85023602 0.88004118 0.84093068
 0.8795665  0.86284922 0.87242369 0.84527541 0.85561898 0.8706709
 0.86205426 0.86961938 0.83280752 0.84898108 0.85018875 0.83767381
 0.8618149  0.84690857 0.83359981 0.80272244 0.80463204 0.81402385
 0.82968303 0.83673667 0.80222831 0.85673299 0.79359373 0.76189379
 0.78398576 0.78539086 0.81247274]","[0.82140665 0.76479138 0.86511083 0.8571311  0.75757554 0.80289598
 0.81084726 0.8297371  0.82346132 0.85377112 0.85844548 0.85439249
 0.83676574 0.78795702 0.80459745 0.83193882 0.75785581 0.8434872
 0.77280417 0.72227347 0.64351217 0.75778496 0.75073544 0.79999515
 0.81056866 0.73220629 0.78028983 0.7492065  0.69348953 0.79195068
 0.74952564 0.77791314 0.71194091]","MLPRegressor(hidden_layer_sizes=(16, 16), max_iter=100, random_state=42,
             solver='lbfgs')",0.005074747118771145,0.07123725934348643,0.054783294671683906,0.003793827513849409,0.06159405420857933,0.06159405420857933
BAÚNA,"range(0, 120)","range(120, 150)","[0.20235711 0.20036939 0.14811925 0.18386797 0.21097147 0.20034931
 0.22612538 0.21401505 0.21738661 0.26251348 0.21152972 0.22213692
 0.20812869 0.2058256  0.18824411 0.16876805 0.20103982 0.21731057
 0.19255177 0.21903904 0.22972145 0.23911636 0.36073569 0.34281506
 0.35270223 0.34588818 0.30287159 0.3243506  0.15167869 0.26570467]","[0.19755082 0.10235966 0.19735766 0.15933357 0.17303511 0.18796314
 0.19050858 0.19034724 0.17672157 0.1843287  0.17163493 0.18054846
 0.17719819 0.15644074 0.12611575 0.16999715 0.16703527 0.13562437
 0.18975051 0.16645128 0.20662287 0.3169327  0.28520097 0.30855754
 0.29159577 0.24067601 0.33410612 0.         0.3312332  0.40446563]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=100, random_state=42,
             solver='lbfgs')",0.007698952368173741,0.08774367423452098,0.06174026696874716,2.3100418184420695e-05,0.004806289440350081,0.004806289440350081
URUGUÁ,"range(0, 116)","range(116, 146)","[ 0.17660622  0.32335792 -0.01516225 -0.2351898  -0.01458209 -0.03006027
 -0.03817545  0.01466289 -0.38183007 -0.17396979 -0.21610869 -0.09734595
 -0.05264675 -0.01413551  0.08382179 -0.134274   -0.12712284  0.03162978
 -0.12778384 -0.10378219  0.07074808  0.0241747   0.29574637  0.31674526
  0.4664204   0.40132253  0.31483718  0.15655669  0.02298312  0.06998397]","[0.35896388 0.12684958 0.19266168 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11086901 0.24230927 0.01573837 0.         0.         0.
 0.00190284 0.24655695 0.34908613 0.39978749 0.22361408 0.40787093
 0.39812164 0.3274734  0.33301458 0.29678753 0.28039806 0.32533035]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=100, random_state=42,
             solver='lbfgs')",0.03569757083735097,0.18893800792151633,0.15600791930169808,0.03325431766924963,0.18235766413630558,0.18235766413630558
SAPINHOÁ,"range(0, 100)","range(100, 126)","[0.82270072 0.7776358  0.66879924 0.81477922 0.74691762 0.84270048
 0.70986929 0.70141556 0.6728489  0.73115025 0.66582661 0.7403063
 0.68617626 0.80370681 0.67662299 0.7936646  0.65872755 0.78541798
 0.64077444 0.58773532 0.6893812  0.65273556 0.7186583  0.56456437
 0.73766477 0.67191084]","[0.75844551 0.73744978 0.77827122 0.7791194  0.73234838 0.70307107
 0.615925   0.57436378 0.71314932 0.60403079 0.74352072 0.71303599
 0.71169527 0.68680641 0.6835306  0.70260974 0.6634814  0.6501921
 0.4376623  0.64258443 0.59321199 0.57391452 0.64913106 0.63596624
 0.64755861 0.65137686]","MLPRegressor(hidden_layer_sizes=(16, 16), max_iter=100, random_state=42,
             solver='lbfgs')",0.00797695235883833,0.08931378593945243,0.07546286148553466,0.004128732125201393,0.06425521087975195,0.06425521087975195
MEXILHÃO,"range(0, 109)","range(109, 137)","[0.38843892 0.42000124 0.39000073 0.41012733 0.4126871  0.42019274
 0.41176422 0.30173313 0.61850511 0.54668074 0.48332157 0.5153972
 0.39715476 0.48160572 0.54797472 0.4884287  0.4924051  0.40941661
 0.38067957 0.37931637 0.38095394 0.36848171 0.34672285 0.33897603
 0.30429262 0.35708065 0.32686147 0.34333966]","[0.44390207 0.43251934 0.48941638 0.47282771 0.49750307 0.44042972
 0.         0.39956724 0.45938481 0.45213186 0.44014465 0.40219211
 0.47167083 0.47216684 0.4573919  0.41858502 0.44085504 0.43398848
 0.41465473 0.42120785 0.40331733 0.39275077 0.37513253 0.30389606
 0.34168883 0.30570061 0.34036381 0.32952122]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=100, random_state=42,
             solver='lbfgs')",0.010183736601051882,0.10091450144083298,0.06704960283773624,0.0030761607748523985,0.05546314789887424,0.05546314789887424
LAPA,"range(0, 71)","range(71, 89)","[0.81928999 0.90267858 1.04628272 0.79949581 1.04457041 0.96979055
 1.01467101 0.74761261 1.15102957 0.9175487  0.85372203 0.73545785
 0.2612316  0.61666079 0.77625137 0.84743444 1.03873251 0.84115359]","[0.96554665 0.86519583 0.9473008  0.93585413 0.96287397 0.92768651
 0.96796038 0.9514235  0.89674663 0.93919185 0.46374861 0.33425208
 0.55610163 0.63483639 0.8030557  0.75220403 0.78992046 0.75456683]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=100, random_state=42,
             solver='lbfgs')",0.03599994823045795,0.1897365231853318,0.1461658954363557,0.02139100935412412,0.1462566557600854,0.1462566557600854
TAMBAÚ,"range(0, 97)","range(97, 122)","[0.11662519 0.11662519 0.11662519 0.11662519 0.11662519 0.11662519
 0.11662519 0.11662519 0.11662519 0.11662519 0.11662519 0.11662519
 0.11662519 0.11662519 0.11662519 0.11662519 0.11662519 0.11662519
 0.12047995 0.1183561  0.11845671 0.11341681 0.11309533 0.11909183
 0.11858314]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0169977
 0.         0.         0.01012596 0.         0.         0.01794143
 0.02742164]","MLPRegressor(hidden_layer_sizes=(16, 16), max_iter=100, random_state=42,
             solver='lbfgs')",0.013024196718594038,0.11412360281113648,0.1139298627639283,0.01360143499276714,0.11662519021535245,0.11662519021535245
BÚZIOS,"range(0, 84)","range(84, 106)","[0.7813127  0.60272165 0.70480868 0.63698218 0.52882827 0.21774593
 0.12234884 0.20672947 0.11935289 0.25856816 0.43122515 0.43634532
 0.43240262 0.42230885 0.4373749  0.43304789 0.40498812 0.41629586
 0.41058669 0.39468087 0.39814147 0.40911044]","[0.23425834 0.19933104 0.2434632  0.24668037 0.23841594 0.21205701
 0.23963003 0.24050536 0.24220184 0.25312925 0.24404845 0.24456183
 0.22170839 0.24544853 0.23913124 0.21747318 0.24777248 0.23378665
 0.20947351 0.23871782 0.23047855 0.2571929 ]","MLPRegressor(hidden_layer_sizes=32, max_iter=100, random_state=42,
             solver='lbfgs')",0.061309283188851135,0.24760711457640133,0.20792059451771355,0.29926846870315804,0.5470543562601051,0.5470543562601051
SÉPIA,"range(0, 80)","range(80, 101)","[0.47441095 0.40444596 0.31361017 0.35457086 1.11929116 0.9013812
 0.88758852 1.04249675 0.57142763 0.23304037 0.34075285 0.61744439
 0.77343154 1.10154318 1.15717251 0.99295388 0.78817777 0.62540028
 0.67895409 0.63732329 0.63256249]","[0.39721009 0.32472256 0.35110532 1.         0.95335931 0.99385985
 0.98531848 0.445311   0.41899627 0.41549256 0.41592533 0.40326611
 0.37847826 0.42103731 0.43245353 0.4205217  0.37821085 0.41865055
 0.39737422 0.4121335  0.40394098]","MLPRegressor(hidden_layer_sizes=(8, 8), max_iter=100, random_state=42,
             solver='lbfgs')",0.13360341724641636,0.36551801220516666,0.2924822464476045,0.00595997325337769,0.07720086303518692,0.07720086303518692
BERBIGÃO,"range(0, 79)","range(79, 99)","[0.1613872  0.44823166 0.37103337 0.67255468 0.47672911 0.54806992
 0.53233049 0.62038754 0.68339431 1.06191795 0.75459724 0.95754543
 0.64267962 0.58542422 0.64536408 0.82759984 0.77513164 0.80334942
 0.16787537 0.75721413]","[0.47214629 0.36579265 0.58157171 0.42680089 0.54498707 0.54506159
 0.52622075 0.64469904 0.9188768  0.90020487 0.82950609 0.76855716
 0.53356211 0.59229599 0.83777264 0.76852252 0.68428053 0.39999428
 0.84530481 0.7892361 ]","MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=100, random_state=42,
             solver='lbfgs')",0.05098333533538969,0.2257948966105959,0.1591701628897329,0.0965712119438545,0.31075908988130096,0.31075908988130096
