campo,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"[0.90101056 0.90481007 0.929662   0.92874504 0.88370854 0.90251835
 0.88938058 0.9155159  0.90611476 0.94086991 0.93742567 0.93717982
 0.95324985 0.95704936 0.98190129 0.98098434 0.93594784 0.95475764
 0.94161988 0.9677552  0.95835405 0.99310921 0.98966497 0.98941912
 1.00548915 1.00928866 1.03414059 1.03322364 0.98818714 1.00699694
 0.99385918 1.01999449 1.01059335]","[0.82140665 0.76479138 0.86511083 0.8571311  0.75757554 0.80289598
 0.81084726 0.8297371  0.82346132 0.85377112 0.85844548 0.85439249
 0.83676574 0.78795702 0.80459745 0.83193882 0.75785581 0.8434872
 0.77280417 0.72227347 0.64351217 0.75778496 0.75073544 0.79999515
 0.81056866 0.73220629 0.78028983 0.7492065  0.69348953 0.79195068
 0.74952564 0.77791314 0.71194091]",0.035718476392023225,0.18899332367050226,0.17200491679598626,0.006336781203118316,0.07960390193400269,0.07960390193400269
BAÚNA,"[0.15684109 0.06626575 0.1034514  0.16114178 0.17457396 0.18204302
 0.19973099 0.16735971 0.16905618 0.16513086 0.18070465 0.1942038
 0.14811807 0.05754273 0.09472838 0.15241876 0.16585094 0.17332
 0.19100797 0.15863669 0.16033316 0.15640785 0.17198163 0.18548078
 0.13939505 0.04881971 0.08600537 0.14369575 0.15712793 0.16459698]","[0.19755082 0.10235966 0.19735766 0.15933357 0.17303511 0.18796314
 0.19050858 0.19034724 0.17672157 0.1843287  0.17163493 0.18054846
 0.17719819 0.15644074 0.12611575 0.16999715 0.16703527 0.13562437
 0.18975051 0.16645128 0.20662287 0.3169327  0.28520097 0.30855754
 0.29159577 0.24067601 0.33410612 0.         0.3312332  0.40446563]",0.010414591068295643,0.10205190379554731,0.06932030960685516,0.0016572820243223839,0.04070972886574392,0.04070972886574392
URUGUÁ,"[ 0.08185402  0.07768721  0.12091934  0.10058872  0.12507121  0.09540068
  0.08763176  0.05012196 -0.05074711  0.0029375   0.01598845  0.04753422
  0.06232235  0.05815553  0.10138767  0.08105704  0.10553954  0.075869
  0.06810009  0.03059029 -0.07027879 -0.01659418 -0.00354323  0.02800255
  0.04279068  0.03862386  0.08185599  0.06152537  0.08600787  0.05633733]","[0.35896388 0.12684958 0.19266168 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11086901 0.24230927 0.01573837 0.         0.         0.
 0.00190284 0.24655695 0.34908613 0.39978749 0.22361408 0.40787093
 0.39812164 0.3274734  0.33301458 0.29678753 0.28039806 0.32533035]",0.041200308575256805,0.20297859142100874,0.16245907028362883,0.07678987311455071,0.27710985748354516,0.27710985748354516
SAPINHOÁ,"[0.79283713 0.78205542 0.77056779 0.8033005  0.74690302 0.79164055
 0.70590721 0.79203323 0.79551689 0.74151144 0.82542699 0.76972088
 0.83657728 0.82579557 0.81430794 0.84704065 0.79064316 0.8353807
 0.74964736 0.83577337 0.83925704 0.78525158 0.86916713 0.81346102
 0.88031742 0.86953571]","[0.75844551 0.73744978 0.77827122 0.7791194  0.73234838 0.70307107
 0.615925   0.57436378 0.71314932 0.60403079 0.74352072 0.71303599
 0.71169527 0.68680641 0.6835306  0.70260974 0.6634814  0.6501921
 0.4376623  0.64258443 0.59321199 0.57391452 0.64913106 0.63596624
 0.64755861 0.65137686]",0.024917179419461512,0.15785176406825965,0.13625120602071192,0.0011827836540406803,0.0343916218582474,0.0343916218582474
MEXILHÃO,"[0.47845505 0.47887928 0.47930351 0.47972774 0.48015197 0.4805762
 0.48100043 0.48142466 0.48184889 0.48227312 0.48269735 0.48312158
 0.48354581 0.48397004 0.48439427 0.4848185  0.48524273 0.48566696
 0.48609119 0.48651542 0.48693965 0.48736388 0.48778811 0.48821234
 0.48863657 0.4890608  0.48948503 0.48990926]","[0.44390207 0.43251934 0.48941638 0.47282771 0.49750307 0.44042972
 0.         0.39956724 0.45938481 0.45213186 0.44014465 0.40219211
 0.47167083 0.47216684 0.4573919  0.41858502 0.44085504 0.43398848
 0.41465473 0.42120785 0.40331733 0.39275077 0.37513253 0.30389606
 0.34168883 0.30570061 0.34036381 0.32952122]",0.015658249630845947,0.1251329278441368,0.0842541930042869,0.0011939081777715562,0.034552976395262336,0.034552976395262336
LAPA,"[0.99008378 0.99464222 0.99920065 1.00375909 1.00831752 1.01287596
 1.01743439 1.02199282 1.02655126 1.03110969 1.03566813 1.04022656
 1.044785   1.04934343 1.05390186 1.0584603  1.06301873 1.06757717]","[0.96554665 0.86519583 0.9473008  0.93585413 0.96287397 0.92768651
 0.96796038 0.9514235  0.89674663 0.93919185 0.46374861 0.33425208
 0.55610163 0.63483639 0.8030557  0.75220403 0.78992046 0.75456683]",0.0906725319018656,0.30111880031287586,0.2261379209209766,0.0006020711236873602,0.024537137642507534,0.024537137642507534
TAMBAÚ,"[-0.00139229 -0.00220262 -0.00301296 -0.00382329 -0.00463363 -0.00544397
 -0.0062543  -0.00706464 -0.00787497 -0.00868531 -0.00949564 -0.01030598
 -0.01111631 -0.01192665 -0.01273699 -0.01354732 -0.01435766 -0.01516799
 -0.01597833 -0.01678866 -0.017599   -0.01840933 -0.01921967 -0.02003001
 -0.02084034]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0169977
 0.         0.         0.01012596 0.         0.         0.01794143
 0.02742164]",0.0003256795163913974,0.018046592930284582,0.014015783645027972,1.938466189110507e-06,0.0013922881128238176,0.0013922881128238176
BÚZIOS,"[0.86334968 0.85549168 0.85890132 0.84947037 0.87822689 0.83317298
 0.88445806 0.88720261 0.89802758 0.89228634 0.94937566 0.95660612
 0.93961486 0.93175687 0.93516651 0.92573556 0.95449208 0.90943817
 0.96072325 0.9634678  0.97429277 0.96855153]","[0.23425834 0.19933104 0.2434632  0.24668037 0.23841594 0.21205701
 0.23963003 0.24050536 0.24220184 0.25312925 0.24404845 0.24456183
 0.22170839 0.24544853 0.23913124 0.21747318 0.24777248 0.23378665
 0.20947351 0.23871782 0.23047855 0.2571929 ]",0.4599138814144345,0.6781695078772227,0.6768337618515332,0.3957559077989125,0.6290913350213246,0.6290913350213246
SÉPIA,"[0.38464507 0.38456308 0.38448109 0.3843991  0.38431711 0.38423512
 0.38415313 0.38407114 0.38398915 0.38390716 0.38382517 0.38374318
 0.38366119 0.3835792  0.3834972  0.38341521 0.38333322 0.38325123
 0.38316924 0.38308725 0.38300526]","[0.39721009 0.32472256 0.35110532 1.         0.95335931 0.99385985
 0.98531848 0.445311   0.41899627 0.41549256 0.41592533 0.40326611
 0.37847826 0.42103731 0.43245353 0.4205217  0.37821085 0.41865055
 0.39737422 0.4121335  0.40394098]",0.06933428692502808,0.2633140461977448,0.1387658315547716,0.00015787969945935717,0.012565018880183076,0.012565018880183076
BERBIGÃO,"[0.36126975 0.36695711 0.37264448 0.37833184 0.38401921 0.38970658
 0.39539394 0.40108131 0.40676867 0.41245604 0.41814341 0.42383077
 0.42951814 0.4352055  0.44089287 0.44658024 0.4522676  0.45795497
 0.46364233 0.4693297 ]","[0.47214629 0.36579265 0.58157171 0.42680089 0.54498707 0.54506159
 0.52622075 0.64469904 0.9188768  0.90020487 0.82950609 0.76855716
 0.53356211 0.59229599 0.83777264 0.76852252 0.68428053 0.39999428
 0.84530481 0.7892361 ]",0.07874369093732615,0.28061306266338737,0.23938248563804793,0.012293608063170357,0.11087654424255095,0.11087654424255095
